day,demand_MWh
05/6/2018,9380478
05/5/2018,9520888
05/4/2018,10468494
05/3/2018,10561733
05/2/2018,10157355
05/1/2018,9753689
04/30/2018,9791698
04/29/2018,8945712
04/28/2018,9055803
04/27/2018,9604783
04/26/2018,9665007
04/25/2018,9789513
04/24/2018,9747655
04/23/2018,9663293
04/22/2018,8885802
04/21/2018,9137979
04/20/2018,9749297
04/19/2018,9922561
04/18/2018,10016088
04/17/2018,10209608
04/16/2018,10172466
04/15/2018,9328803
04/14/2018,9310947
04/13/2018,9880794
04/12/2018,9887960
04/11/2018,10041665
04/10/2018,10205286
04/9/2018,10364891
04/8/2018,9805427
04/7/2018,9842894
04/6/2018,10205963
04/5/2018,10235753
04/4/2018,10186171
04/3/2018,10302792
04/2/2018,10191199
04/1/2018,8982499
03/31/2018,9159325
03/30/2018,9504493
03/29/2018,9811941
03/28/2018,10055624
03/27/2018,10376674
03/26/2018,10418093
03/25/2018,9643836
03/24/2018,9738958
03/23/2018,10312407
03/22/2018,10512600
03/21/2018,10672934
03/20/2018,10418255
03/19/2018,10134427
03/18/2018,9378276
03/17/2018,9681256
03/16/2018,10294505
03/15/2018,10554599
03/14/2018,10820674
03/13/2018,10770114
03/12/2018,10583364
03/11/2018,8742766
03/10/2018,9288015
03/9/2018,10633047
03/8/2018,10788053
03/7/2018,10042474
03/6/2018,9831542
03/5/2018,10360723
03/4/2018,9515679
03/3/2018,9659544
03/2/2018,10287314
03/1/2018,10186890
02/28/2018,10242133
02/27/2018,10331139
02/26/2018,10230343
02/25/2018,9567282
02/24/2018,9839218
02/23/2018,10577194
02/22/2018,10836523
02/21/2018,10697821
02/20/2018,10380986
02/19/2018,10314346
02/18/2018,9639085
02/17/2018,9948434
02/16/2018,10104718
02/15/2018,10032564
02/14/2018,10585369
02/13/2018,11265004
02/12/2018,11262134
02/11/2018,10349083
02/10/2018,10312724
02/9/2018,11088175
02/8/2018,11480116
02/7/2018,11465116
02/6/2018,11445051
02/5/2018,11428695
02/4/2018,10494902
02/3/2018,11132891
02/2/2018,11530772
02/1/2018,11005859
01/31/2018,11542187
01/30/2018,11666876
01/29/2018,10882682
01/28/2018,9708605
01/27/2018,9967769
01/26/2018,11064265
01/25/2018,11433230
01/24/2018,11210508
01/23/2018,10740487
01/22/2018,10443877
01/21/2018,9906922
01/20/2018,10565677
01/19/2018,12131780
01/18/2018,13188961
01/17/2018,13196775
01/16/2018,12852958
01/15/2018,12441651
01/14/2018,12051944
01/13/2018,11527130
01/12/2018,11093882
01/11/2018,10577269
01/10/2018,10904566
01/9/2018,11207051
01/8/2018,11888305
01/7/2018,12304577
01/6/2018,13074310
01/5/2018,13569589
01/4/2018,13568926
01/3/2018,13643374
01/2/2018,14048062
01/1/2018,13200927
12/31/2017,12284784
12/30/2017,11528048
12/29/2017,12042814
12/28/2017,12548307
12/27/2017,12283532
12/26/2017,11459167
12/25/2017,10532139
12/24/2017,10176633
12/23/2017,10172088
12/22/2017,10711046
12/21/2017,10885828
12/20/2017,10635235
12/19/2017,10575626
12/18/2017,10731155
12/17/2017,10504026
12/16/2017,10964159
12/15/2017,11668471
12/14/2017,11614766
12/13/2017,11957442
12/12/2017,11493266
12/11/2017,11471620
12/10/2017,11111246
12/9/2017,11367753
12/8/2017,11862061
12/7/2017,11493670
12/6/2017,10965719
12/5/2017,10235864
12/4/2017,10253037
12/3/2017,9524721
12/2/2017,9699674
12/1/2017,10104531
11/30/2017,10223494
11/29/2017,10233102
11/28/2017,10384240
11/27/2017,10275062
11/26/2017,9315712
11/25/2017,9190030
11/24/2017,9406921
11/23/2017,9541355
11/22/2017,10304092
11/21/2017,10347521
11/20/2017,10539177
11/19/2017,9524738
11/18/2017,9674601
11/17/2017,10318461
11/16/2017,10314317
11/15/2017,10344004
11/14/2017,10321162
11/13/2017,10289393
11/12/2017,9644712
11/11/2017,9990615
11/10/2017,10376511
11/9/2017,10331138
11/8/2017,10311965
11/7/2017,10361065
11/6/2017,10141100
11/5/2017,9120402
11/4/2017,8892300
11/3/2017,9428142
11/2/2017,9495256
11/1/2017,9517902
10/31/2017,9455931
10/30/2017,9958235
10/29/2017,9296150
10/28/2017,9309256
10/27/2017,9779368
10/26/2017,9881303
10/25/2017,9900488
10/24/2017,10074509
10/23/2017,9997421
10/22/2017,9177228
10/21/2017,9472355
10/20/2017,9913595
10/19/2017,9975082
10/18/2017,9896179
10/17/2017,9827634
10/16/2017,9941136
10/15/2017,9673265
10/14/2017,10036450
10/13/2017,10433321
10/12/2017,10448203
10/11/2017,10669735
10/10/2017,11084998
10/9/2017,11340934
10/8/2017,10232399
10/7/2017,10352185
10/6/2017,10785956
10/5/2017,10668568
10/4/2017,10666313
10/3/2017,10632386
10/2/2017,10370233
10/1/2017,9365797
09/30/2017,9650954
09/29/2017,10526054
09/28/2017,11224843
09/27/2017,11833878
09/26/2017,11953151
09/25/2017,11957722
09/24/2017,11119135
09/23/2017,11315733
09/22/2017,12036230
09/21/2017,12248672
09/20/2017,12127010
09/19/2017,11738567
09/18/2017,11549846
09/17/2017,10827323
09/16/2017,11091731
09/15/2017,11531687
09/14/2017,11333766
09/13/2017,10910312
09/12/2017,10533269
09/11/2017,10186027
09/10/2017,9561166
09/9/2017,9914808
09/8/2017,10543329
09/7/2017,10706573
09/6/2017,11028299
09/5/2017,11784657
09/4/2017,11062405
09/3/2017,10645687
09/2/2017,10578981
09/1/2017,11393425
08/31/2017,11907014
08/30/2017,11748274
08/29/2017,11576071
08/28/2017,11477587
08/27/2017,10765578
08/26/2017,10950110
08/25/2017,11560468
08/24/2017,11952553
08/23/2017,12669912
08/22/2017,13391337
08/21/2017,13189495
08/20/2017,12199231
08/19/2017,12494110
08/18/2017,13136423
